[1/9] beams=36, particles=500 ... ATE=0.8571
[2/9] beams=36, particles=1000 ... ATE=0.8730
[3/9] beams=36, particles=2000 ... ATE=0.8399
[4/9] beams=72, particles=500 ... ATE=0.8510
[5/9] beams=72, particles=1000 ... ATE=0.8544
[6/9] beams=72, particles=2000 ... ATE=0.8559
[7/9] beams=144, particles=500 ... ATE=0.7979
[8/9] beams=144, particles=1000 ... ATE=0.7950
[9/9] beams=144, particles=2000 ... ATE=0.7787

LiDAR-only results:
n_beams  n_particles  ATE      ATE_x    ATE_y    MeanErr 
--------------------------------------------------------------------------------
144      2000         0.7787   0.5339   0.5669   0.5797  
144      1000         0.7950   0.5527   0.5715   0.5977  
144      500          0.7979   0.5262   0.5999   0.5981  
36       2000         0.8399   0.4036   0.7366   0.5929  
72       500          0.8510   0.4333   0.7324   0.6054  
72       1000         0.8544   0.5073   0.6876   0.6086  
72       2000         0.8559   0.4762   0.7112   0.6081  
36       500          0.8571   0.3995   0.7583   0.6035  
36       1000         0.8730   0.4011   0.7755   0.6162  
